ID	logFC	CI.025	CI.975	AveExpr	t	P.Value	adj.P.Val	B	modLog10P	signLog10P
NAMPTP1	0.790661221351499	0.418873023878553	1.16244941882444	10.446589059383	4.18388450776776	3.70087834660391E-5	0.00476796493654137	2.01753730045366	4.431695	4.431695
NDRG1	0.532075595528921	0.196214824289415	0.867936366768428	9.7915562781064	3.11672802768043	0.00199360636243029	0.0402015056910944	-1.53733829532994	2.700361	2.700361
NNMT	1.111077302258	0.502878989373178	1.71927561514282	9.99299796131016	3.59404832414161	3.76567269693345E-4	0.0152312703212593	-0.0652379248960493	3.424157	3.424157
NR2E1	0.822871641577488	0.31182496684052	1.33391831631446	7.38169163689502	3.16778994831661	0.0016833585751717	0.0372454837397871	-1.3891887152804	2.773823	2.773823
OAS1	0.663460408935166	0.294635171818309	1.03228564605202	6.83302186990341	3.53898913540258	4.60840798133009E-4	0.0176644165768462	-0.244931583209699	3.336449	3.336449
PAMR1	0.793721561896415	0.432349510011747	1.15509361378108	8.11462245071584	4.32114126429191	2.07141846686238E-5	0.00321912244557131	2.54278412021977	4.683732	4.683732
PCSK5	0.610913555123379	0.266318997390451	0.955508112856307	7.23540657513236	3.48783711526111	5.54695009276327E-4	0.0199432205660745	-0.40958255494237	3.255946	3.255946
PDGFA	0.825136665861304	0.449456895037702	1.20081643668491	8.43186797623837	4.32108613230992	2.07190764603413E-5	0.00321912244557131	2.54257012760315	4.68363	4.68363
PDGFD	0.725243791508982	0.286231997412996	1.16425558560497	6.65154957313231	3.250069735147	0.00127583295229552	0.0322762539967998	-1.14572699757322	2.894206	2.894206
PDLIM4	0.869568438390696	0.365050109537482	1.37408676724391	7.96795569175563	3.39087411782922	7.83528639204387E-4	0.0242267055241996	-0.71560805779531	3.105945	3.105945
PDPN	1.47082961959754	0.961536196532965	1.98012304266211	9.10459317255735	5.6817110959609	2.98733266062317E-8	5.19571832998885E-5	8.52994204094222	7.524716	7.524716
PDZD2	0.738421900777831	0.306513809616874	1.17032999193879	7.97050598197015	3.36355146029126	8.62395467964066E-4	0.025860712373388	-0.800396955401532	3.064294	3.064294
PHF11	0.538278177523853	0.28913377720842	0.787422577839287	8.58667318226895	4.25050459847692	2.79764409804433E-5	0.00393196161416049	2.27059522257784	4.553208	4.553208
PINLYP	0.908012155343864	0.582976809203233	1.2330475014845	6.6262596462793	5.49598980986382	7.91634110404731E-8	1.10147970121714E-4	7.63252807460703	7.101476	7.101476
PLA2G2A	1.06698302784468	0.428293526286259	1.7056725294031	6.66976668475707	3.28664336661614	0.00112587322443727	0.0298958016122523	-1.03563707014357	2.948511	2.948511
PLA2G5	1.21558554238802	0.628150298427697	1.80302078634835	7.34782827423408	4.07108691797329	5.89529061187476E-5	0.00582587080454107	1.59721476809081	4.229495	4.229495
PLAT	0.543725210830551	0.190233055243117	0.897217366417986	8.99528942595643	3.02610879109092	0.00267707033920775	0.04624728232396	-1.79468892846533	2.57234	2.57234
PLOD2	0.540590623614737	0.268464031764765	0.812717215464708	9.56204566872219	3.90825033496958	1.1337217236623E-4	0.00857315438208545	1.00865145910678	3.945494	3.945494
PLSCR1	0.560819008414809	0.274126355818514	0.847511661011103	9.24211224628669	3.84849573741354	1.43340298468833E-4	0.00966631688327134	0.798119003219774	3.843632	3.843632
PLSCR4	0.506900864305996	0.224414530544504	0.789387198067487	8.26408585785281	3.53029044410351	4.75672130730715E-4	0.0179363198563338	-0.273087373065773	3.322692	3.322692
PLTP	0.565779232797148	0.221354112467186	0.910204353127109	8.99019962079399	3.23174459558534	0.00135774839194097	0.0332016012749854	-1.200455022282	2.867181	2.867181
PMP22	0.635145566463272	0.34560950026161	0.924681632664935	11.2618480412929	4.31574174961618	2.11985583802238E-5	0.0032288128811321	2.52183758237448	4.673694	4.673694
POSTN	1.76449902401736	0.872264255373504	2.65673379266122	8.59099851835215	3.8906944658879	1.21496855746623E-4	0.008872569131086	0.946492348121089	3.915435	3.915435
PTX3	1.22877843736003	0.637023508629923	1.82053336609013	7.41977112061026	4.08523031024325	5.56412097323636E-5	0.00577755068817991	1.64935407516816	4.254603	4.254603
PYGL	0.512176388811355	0.211156093294573	0.813196684328137	8.04445238327775	3.34740779845751	9.12407512735488E-4	0.0266706683449613	-0.850195317125534	3.039811	3.039811
RARRES2	0.821155375998424	0.347020333333602	1.29529041866325	7.7650966940185	3.40728242773833	7.39453964893367E-4	0.0235518933434248	-0.664383320457515	3.131089	3.131089
RBP1	1.08324709134677	0.614521388950786	1.55197279374275	9.70334290945699	4.54667184911884	7.7267847033047E-6	0.00176246692396363	3.43825510506912	5.112001	5.112001
RFTN1	0.528111597017428	0.219647097286163	0.836576096748694	9.32072909995362	3.36825809702409	8.48302708561441E-4	0.0258126712974824	-0.785836501962176	3.071449	3.071449
RGN	0.504243953138751	0.186053777868344	0.822434128409158	6.7992624612075	3.11773200071104	0.00198702897518912	0.0401969278450683	-1.53444715743461	2.701796	2.701796
RGS1	0.631164045089722	0.249703679030207	1.01262441114924	10.1690695596054	3.25520000318485	0.00125373529128946	0.0319495839615412	-1.13035371125555	2.901794	2.901794
RNU1-123P	0.768913137442212	0.38716372328783	1.15066255159659	6.36432897208119	3.9626320659071	9.1348678426331E-5	0.00765337152318959	1.20280272911683	4.039298	4.039298
RPH3A	0.718781763858297	0.291456377970764	1.14610714974583	5.34284112796718	3.30920143704792	0.0010417228413158	0.0286861431486165	-0.967163001406556	2.982248	2.982248
RUBCNL	0.757491800369777	0.420431423910998	1.09455217682855	6.87127336245781	4.42135189945496	1.34317590033453E-5	0.00254120405616856	2.93572813311162	4.871867	4.871867
S100A8	1.02840864837079	0.438166480793481	1.6186508159481	8.88583842044346	3.42783836363035	6.87501675046544E-4	0.0225079960155238	-0.599886911178821	3.162726	3.162726
SCG5	1.0052134237941	0.545447623884433	1.46497922370377	10.0673230586364	4.30136665895187	2.25414819902899E-5	0.0033366189405627	2.46618476636732	4.647018	4.647018
SDC2	0.626117984923749	0.287530489462462	0.964705480385035	9.04896897403027	3.63806212957712	3.19848023992494E-4	0.0142214860510703	0.0802400094569578	3.495056	3.495056
SEC61G	0.98046414388541	0.603803339763108	1.35712494800771	11.4234082827962	5.12113393519961	5.24111370615527E-7	3.47261219559259E-4	5.89633650490486	6.280576	6.280576
SERPINA3	0.940356306600849	0.435869785409616	1.44484282779208	11.6172114466183	3.66714195521769	2.86892161259809E-4	0.0133953608448624	0.177247528146355	3.542281	3.542281
SERPING1	1.18092984046346	0.785052338039982	1.57680734288694	8.38527558192638	5.86878396031745	1.09180448264867E-8	3.03827351431471E-5	9.45815976512424	7.961855	7.961855
SLC1A3	0.69896437164283	0.267126598500963	1.1308021447847	11.4237779153773	3.18433872887261	0.00159280682295359	0.0362255496122952	-1.34069076548857	2.797837	2.797837
SLC25A20	0.55866992142123	0.340441621601724	0.776898221240736	6.94922991402518	5.03650266601008	7.91527065341416E-7	4.33288308185603E-4	5.51857242007193	6.101534	6.101534
SLC27A3	0.523197619331438	0.248042172869584	0.798353065793292	6.40308979285311	3.74086893960019	2.17083935950963E-4	0.0113981354144215	0.426358369835502	3.663372	3.663372
SLC2A10	0.872924305546605	0.541833680464394	1.20401493062882	7.56975779809855	5.18697971898552	3.78883503463801E-7	2.79155668065841E-4	6.19390883348975	6.421494	6.421494
SLC35G2	0.839842751896362	0.536325692937529	1.1433598108552	7.97049970431493	5.44376940887628	1.03651680200248E-7	1.31109952573295E-4	7.38458866848261	6.984424	6.984424
